,Unnamed: 0,movie_id,original_title,Release_year,revenue,tags
448,448,2289,Cold Mountain,2003,173013509,"drama judelaw nicolekidman renéezellweg miramaxfilm mirageenterpris castelfilmromania unitedstatesofamerica unitedkingdom romania lossoflov lossoffamili desert in thi classic stori of love and devot set against the backdrop of the american civil war, a wound confeder soldier name w.p. inman desert hi unit and travel across the south, aim to return to hi young wife, ada, who he left behind to tend their farm. as inman make hi peril journey home, ada struggl to keep their home intact with the assist of ruby, a mysteri drifter sent to help her by a kindli neighbor. anthonyminghella"
452,452,2300,Space Jam,1996,250200000,"anim comedi drama michaeljordan wayneknight billywest warnerbros.familyentertain northernlightsentertain courtsideseatsproduct unitedstatesofamerica sport basketbal doctor in a desper attempt to win a basketbal match and earn their freedom, the looney tune seek the aid of retir basketbal champion, michael jordan. joepytka"
453,453,12096,The Pink Panther,2006,0,"action comedi crime stevemartin kevinklin jeanreno columbiapictur internationalproductioncompani themontecitopicturecompani unitedstatesofamerica robberi investig inspector when the coach of the franc soccer team is kill by a poison dart in the stadium in the end of a game, and hi expens and huge ring with the diamond pink panther disappears, the ambiti chief inspector dreyfu assign the worst polic inspector jacqu clouseau to the case. shawnlevi"
454,454,10200,The Day the Earth Stood Still,2008,233093859,"drama sciencefict thriller keanureev jenniferconnelli kathyb twentiethcenturyfoxfilmcorpor duneentertainmentiii earthcanadaproduct canada unitedstatesofamerica extraterrestrialtechnolog spacecraft ultimatum a repres of an alien race that went through drastic evolut to surviv it own climat change, klaatu come to earth to assess whether human can prevent the environment damag they have inflict on their own planet. when bar from speak to the unit nations, he decid humankind shall be extermin so the planet can survive. scottderrickson"
461,461,2157,Lost in Space,1998,136159423,"adventur famili sciencefict garyoldman williamhurt mattleblanc newlinecinema irwinallenproduct preludepictur unitedstatesofamerica timetravel sabotag deepspaceexplor the prospect for continu life on earth in the year 2058 are grim. so the robinson are launch into space to colon alpha prime, the onli other inhabit planet in the galaxy. but when a stowaway sabotag the mission, the robinson find themselv hurtl through unchart space. stephenhopkin"
462,462,14462,The Manchurian Candidate,2004,96105964,"drama thriller mysteri denzelwashington merylstreep lievschreib paramountpictur scottrudinproduct clinicaestetico unitedstatesofamerica senat gulfwar cano when hi armi unit wa ambush dure the first gulf war, sergeant raymond shaw save hi fellow soldier just as hi command officer, then-captain ben marco, wa knock unconscious. broker the incid for polit capital, shaw eventu becom a vice-presidenti nominee, while marco is haunt by dream of what happen -- or didn't happen -- in kuwait. as marco (now a major) investigates, the stori begin to unravel, to the point where he question if it happen at all. is it possibl the entir unit wa kidnap and brainwash to believ shaw is a war hero as part of a plot to seiz the white house? some veri power peopl at manchurian global corpor appear desper to stop him from find out. jonathandemm"
466,466,2135,The Time Machine,2002,123729176,"sciencefict adventur action guypearc markaddi phyllidalaw dreamworksskg warnerbros. unitedstatesofamerica futur timemachin hope to alter the event of the past, a 19th centuri inventor instead travel 800,000 year into the future, where he find humankind divid into two war races. simonwel"
469,469,1656,The Legend of Zorro,2005,142400065,"action adventur antoniobandera catherinezeta-jon adriánalonsobarona amblinentertain columbiapicturescorpor mexico unitedstatesofamerica california spi fathersonrelationship have spent the last 10 year fight injustic and cruelty, alejandro de la vega is now face hi greatest challenge: hi love wife elena ha thrown him out of the house! elena ha file for divorc and found comfort in the arm of count armand, a dash french aristocrat. but alejandro know someth she doesn't: armand is the evil mastermind behind a terrorist plot to destroy the unit states. and so, with hi marriag and the county' futur at stake, it' up to zorro to save two union befor it' too late. martincampbel"
472,472,4442,The Brothers Grimm,2005,105316267,"adventur fantasi action heathledg mattdamon mackenziecrook theweinsteincompani summitentertain atlasentertain czechrepubl unitedkingdom unitedstatesofamerica brotherbrotherrelationship literatur aftercreditssting folklor collector and con artists, jake and will grimm, travel from villag to villag pretend to protect townsfolk from enchant creatur and perform exorcisms. however, they are put to the test when they encount a real magic curs in a haunt forest with real magic beings, requir genuin courage. terrygilliam"
487,487,8870,Red Planet,2000,33463969,"thriller action sciencefict valkilm carrie-annemoss benjaminbratt villageroadshowpictur npventertain warnerbros. australia unitedstatesofamerica mar futur astronaut astronaut search for solut to save a die earth by search on mars, onli to have the mission go terribl awry. antonyhoffman"
494,494,8587,The Lion King,1994,788241776,famili anim drama jonathantaylorthoma matthewbroderick jamesearljon waltdisneypictur waltdisneyfeatureanim unitedstatesofamerica lossofpar wildboar uncl a young lion cub name simba can't wait to be king. but hi uncl crave the titl for himself and will stop at noth to get it. rogeral
505,505,8698,The League of Extraordinary Gentlemen,2003,179265204,"fantasi action thriller seanconneri petawilson shanewest twentiethcenturyfoxfilmcorpor jdproduct internationalproductioncompani czechrepubl germani unitedkingdom savingtheworld vampir bite to prevent a world war from break out, famou charact from victorian literatur band togeth to do battl against a cun villain. stephennorrington"
508,508,330,The Lost World: Jurassic Park,1997,229074524,"adventur action sciencefict jeffgoldblum juliannemoor petepostlethwait universalpictur amblinentertain unitedstatesofamerica exoticisland dna paleontolog four year after jurass park' genet bred dinosaur ran amok, multimillionair john hammond shock chao theorist ian malcolm by reveal that hammond ha been breed more beasti at a secret location. malcolm, hi paleontologist ladylov and a wildlif videograph join an expedit to document the lethal lizards' natur behavior in thi action-pack thriller. stevenspielberg"
514,514,950,Ice Age: The Meltdown,2006,660940780,"anim famili comedi rayromano johnleguizamo denisleari blueskystudio twentiethcenturyfoxanim unitedstatesofamerica mammoth sloth iceag diego, manni and sid return in thi sequel to the hit anim movi ice age. thi time around, the deep freez is over, and the ice-cov earth is start to melt, which will destroy the trio' cherish valley. the impend disast prompt them to reunit and warn all the other beast about the desper situation. carlossaldanha"
516,516,2976,Hairspray,2007,90450008,"famili comedi music johntravolta michellepfeiff christopherwalken newlinecinema ingeniousfilmpartn offspringentertain unitedkingdom unitedstatesofamerica race dream danc pleasantli plump teenager, traci turnblad and her best friend, penni pingleton audit to be on the corni collin show – and traci wins. but when scheme amber von tussl and her mother plot to destroy tracy, it turn to chaos. adamshankman"
518,518,332,Inspector Gadget,1999,0,"action adventur comedi matthewbroderick ruperteverett joelyfish waltdisneypictur caravanpictur dicentertain unitedstatesofamerica gadget john brown is a bumbl but well-intent secur guard who is badli injur in an explos plan by an evil mastermind. he is taken to a laboratory, where brenda, a lead robot surgeon, replac hi damag limb with state-of-the-art gadget and tools. name ""inspector gadget"" by the press, john -- along with hi niece, penny, and her trusti dog, brain -- use hi new power to discov who wa behind the explosion. davidkellogg"
521,521,594,The Terminal,2004,219417255,"comedi drama tomhank catherinezeta-jon stanleytucci dreamworksskg amblinentertain parkes/macdonaldproduct unitedstatesofamerica newyork airport marriagepropos viktor navorski is a man without a country; hi plane took off just as a coup d'etat explod in hi homeland, leav it in shambles, and now he' strand at kennedi airport, where he' hold a passport that nobodi recognizes. while quarantin in the transit loung until author can figur out what to do with him, viktor simpli goe on live – and court romanc with a beauti flight attendant. stevenspielberg"
524,524,6538,Charlie Wilson's War,2007,119000410,"comedi drama histori tomhank philipseymourhoffman juliarobert universalpictur participantproduct playtoneproduct unitedstatesofamerica washingtond.c. alcohol cia the true stori of texa congressman charli wilson' covert deal in afghanistan, where hi effort to assist rebel in their war with the soviet had some unforeseen and long-reach effects. mikenichol"
536,536,1439,Anna and the King,1999,0,drama histori romanc jodiefost chowyun-fat bail fox2000pictur malaysia unitedstatesofamerica civilwar fathersonrelationship eastindiatradingcompani the stori of the romanc between the king of siam (now thailand) and the widow british school teacher anna leonowen dure the 1860's. anna teach the children and becom romanc by the king. she convinc him that a man can be love by just one woman. andytenn
551,551,8676,Fool's Gold,2008,111231041,"romanc comedi adventur matthewmcconaughey katehudson donaldsutherland delinepictur warnerbros. unitedstatesofamerica helicopt cemeteri boat treasur hunter ben ""finn"" finnegan ha sunk hi marriag to tess and hi trusti boat in hi obsess quest to find the legendari queen' dowry. when he find a vital clue that may final pinpoint the treasure' whereabouts, he drag tess and her boss, billionair nigel honeycutt, along on the hunt. but finn is not the onli one interest in the gold; hi former mentor-turned-enemi moe fitch will stop at noth to beat him to it. andytenn"
553,553,4349,The Kingdom,2007,86658558,thriller action drama jamiefoxx jennifergarn chriscoop universalpictur forwardpass relativitymedia germani unitedstatesofamerica assassin assassin terrorist a team of u.s. govern agent is sent to investig the bomb of an american facil in the middl east. peterberg
556,556,197,Braveheart,1995,210000000,"action drama histori melgibson catherinemccormack sophiemarceau iconentertainmentintern theladdcompani b.h.financec.v. unitedstatesofamerica individu scotland inlovewithenemi enrag at the slaughter of murron, hi new bride and childhood love, scottish warrior william wallac slay a platoon of the local english lord' soldiers. thi lead the villag to revolt and, eventually, the entir countri to rise up against english rule. melgibson"
557,557,25,Jarhead,2005,96889998,"drama war jamiefoxx jakegyllenha scottmacdonald universalpictur nealstreetproduct redwagonentertain germani unitedstatesofamerica sniper marinecorp saudiarabia jarhead is a film about a us marin anthoni swofford’ experi in the gulf war. after put up with an arduou boot camp, swafford and hi unit are sent to the persian gulf where they are earger to fight but are forc to stay back from the action. meanwhil swofford get news of hi girlfriend is cheat on him. desper he want to kill someon and final put hi train to use. sammend"
558,558,35,The Simpsons Movie,2007,527068851,"anim comedi famili dancastellaneta juliekavn nancycartwright graciefilm twentiethcenturyfoxfilmcorpor unitedstatesofamerica fathersonrelationship lake springfield after homer accident pollut the town' water supply, springfield is encas in a gigant dome by the epa and the simpson are declar fugitives. davidsilverman"
562,562,6947,The Village,2004,256697520,"drama mysteri thriller brycedallashoward joaquinphoenix adrienbrodi scottrudinproduct touchstonepictur blindingedgepictur unitedstatesofamerica secret forest ruralset when a will young man tri to ventur beyond hi sequest pennsylvania hamlet, hi action set off a chain of chill incid that will alter the commun forever. m.nightshyamalan"
563,563,3050,Doctor Dolittle,1998,294456605,"comedi famili fantasi eddiemurphi ossiedavi oliverplatt twentiethcenturyfoxfilmcorpor josephm.singerentertain davisentertain unitedstatesofamerica talkingtoanim womandirector a success physician and devot famili man, john dolittl (eddi murphy) seem to have the world by the tail, until a long suppress talent he possess as a child, the abil to commun with anim is suddenli reawaken with a vengeance! now everi creatur within squawk distanc want the good doctor' advice, unleash an outrag chain of event that turn hi world upsid down! bettythoma"
566,566,920,Cars,2006,461983149,"anim adventur comedi owenwilson paulnewman bonniehunt waltdisneypictur pixaranimationstudio unitedstatesofamerica carrac carjourney villageandtown lightn mcqueen, a hotshot rooki race car driven to succeed, discov that life is about the journey, not the finish line, when he find himself unexpectedli detour in the sleepi rout 66 town of radiat springs. on rout across the countri to the big piston cup championship in california to compet against two season pros, mcqueen get to know the town' offbeat characters. johnlasset"
567,567,4806,Runaway Bride,1999,309457509,"comedi romanc juliarobert richardger joancusack paramountpictur lakeshoreentertain touchstonepictur unitedstatesofamerica smalltown self-discoveri justmarri ike graham, new york columnist, write hi text alway at the last minute. thi time, a drunken man in hi favourit bar tell ike about maggi carpenter, a woman who alway flee from her groom in the last possibl moment. ike, who doe not have the best opinion about femal anyway, write an offens column without research the subject thoroughly. garrymarshal"
581,581,200,Star Trek: Insurrection,1998,118000000,"sciencefict action adventur patrickstewart jonathanfrak brentspin paramountpictur unitedstatesofamerica spaceopera retribut spacecraftoffic when an alien race and faction within starfleet attempt to take over a planet that ha ""regenerative"" properties, it fall upon captain picard and the crew of the enterpris to defend the planet' peopl as well as the veri ideal upon which the feder itself wa founded. jonathanfrak"
587,587,2756,The Abyss,1989,90000098,"adventur action thriller edharri maryelizabethmastrantonio michaelbiehn twentiethcenturyfoxfilmcorpor lightstormentertain pacificwestern unitedstatesofamerica ocean sea divingsuit a civilian oil rig crew is recruit to conduct a search and rescu effort when a nuclear submarin mysteri sinks. one diver soon find himself on a spectacular odyssey 25,000 feet below the ocean' surfac where he confront a mysteri forc that ha the power to chang the world or destroy it. jamescameron"
607,607,5137,Sky Captain and the World of Tomorrow,2004,57958696,"mysteri action thriller judelaw gwynethpaltrow giovanniribisi paramountpictur naturalnylonentertain riffrafffilmproduct unitedkingdom unitedstatesofamerica londonengland himalaya journalist when gigant robot attack new york city, ""ski captain"" use hi privat air forc to fight them off. hi ex-girlfriend, report polli perkins, ha been investig the recent disappear of promin scientists. suspect a link between the global robot attack and miss men, sky captain and polli decid to work together. they fli to the himalaya in pursuit of the mysteri dr. totenkopf, the mastermind behind the robots. kerryconran"
608,608,3093,Basic Instinct 2,2006,38629478,"crime mysteri thriller sharonston davidmorrissey charlotterampl intermediafilm kanzaman c-2pictur germani unitedkingdom unitedstatesofamerica malenud sex leg novelist catherin tramel is onc again in troubl with the law, and scotland yard appoint psychiatrist dr. michael glass to evalu her. though, like detect nick curran befor him, glass is entranc by tramel and lure into a seduct game. michaelcaton-jon"
611,611,4614,The Sum of All Fears,2002,193000000,"thriller action drama benaffleck morganfreeman jamescromwel paramountpictur maceneufeldproduct mfpmunichfilmpartnersgmbh&companyi.produktionskg unitedstatesofamerica cia terrorist atomicbomb when the presid of russia suddenli dies, a man whose polit are virtual unknown succe him. the chang in polit leader spark paranoia among american cia officials, so cia director bill cabot recruit a young analyst to suppli insight and advic on the situation. then the unthink happens: a nuclear bomb explod in a u.s. city, and america is quick to blame the russians. philaldenrobinson"
626,626,846,The X Files,1998,189198313,"mysteri sciencefict thriller davidduchovni gilliananderson mitchpileggi twentiethcenturyfoxfilmcorpor tenthirteenproduct canada unitedstatesofamerica bomb helicopt secret mulder and scully, now taken off the fbi' x file cases, must find a way to fight the shadowi element of the govern to find out the truth about a conspiraci that might mean the alien colon of earth. robbowman"
630,630,3981,What Women Want,2000,374111707,"comedi romanc helenhunt melgibson marisatomei paramountpictur centropolisentertain iconentertainmentintern unitedstatesofamerica women telepathi supernaturalpow advertis execut nick marshal is as cocki as they come, but what happen to a chauvinist guy when he can suddenli hear what women are thinking? nick get pass over for a promotion, but after an accid enabl him to hear women' thoughts, he put hi newfound talent to work against darcy, hi new boss, who seem to be infatu with him. nancymey"
631,631,425,Ice Age,2002,383257136,"anim comedi famili rayromano johnleguizamo denisleari twentiethcenturyfoxfilmcorpor blueskystudio twentiethcenturyfoxanim unitedstatesofamerica humanevolut parentskidsrelationship squirrel with the impend ice age almost upon them, a mismatch trio of prehistor critter – manni the woolli mammoth, diego the saber-tooth tiger and sid the giant sloth – find an orphan infant and decid to return it to it human parents. along the way, the unlik alli becom friend but, when enemi attack, their quest take on far nobler aims. chriswedg"
634,634,603,The Matrix,1999,463517383,"action sciencefict keanureev laurencefishburn carrie-annemoss villageroadshowpictur grouchoiifilmpartnership silverpictur australia unitedstatesofamerica savingtheworld artificialintellig manvsmachin set in the 22nd century, the matrix tell the stori of a comput hacker who join a group of underground insurg fight the vast and power comput who now rule the earth. lillywachowski"
650,650,345,Eyes Wide Shut,1999,162091208,"mysteri drama tomcruis nicolekidman madisoneginton hobbyfilm polestar stanleykubrickproduct unitedkingdom unitedstatesofamerica lifeanddeath sexualobsess freelov after dr. bill hartford' wife, alice, admit to have sexual fantasi about a man she met, bill becom obsess with have a sexual encounter. he discov an underground sexual group and attend one of their meet -- and quickli discov that he is in over hi head. stanleykubrick"
661,661,6795,Zathura: A Space Adventure,2005,64321501,"famili fantasi sciencefict jonahbobo joshhutcherson daxshepard columbiapicturescorpor teitlerfilm michaeldelucaproduct unitedstatesofamerica adventur hous alien after their father is call into work, two young boys, walter and danny, are left in the care of their teenag sister, lisa, and told they must stay inside. walter and danny, who anticip a bore day, are shock when they begin play zathura, a space-them board game, which they realiz ha mystic power when their hous is shot into space. with the help of an astronaut, the boy attempt to return home. jonfavreau"
662,662,550,Fight Club,1999,100853753,"drama edwardnorton bradpitt meatloaf regencyenterpris fox2000pictur taurusfilm germani unitedstatesofamerica supportgroup dualident nihil a ticking-time-bomb insomniac and a slipperi soap salesman channel primal male aggress into a shock new form of therapy. their concept catch on, with underground ""fight clubs"" form in everi town, until an eccentr get in the way and ignit an out-of-control spiral toward oblivion. davidfinch"
669,669,189,Sin City: A Dame to Kill For,2014,39407616,crime thriller mickeyrourk jessicaalba joshbrolin miramaxfilm troublemakerstudio arfilm unitedstatesofamerica detect dystopia dominatrix some of sin city' most hard-boil citizen cross path with a few of it more revil inhabitants. robertrodriguez
672,672,1427,Perfume: The Story of a Murderer,2006,132180323,"crime fantasi drama benwhishaw simonchandl davidcald davis-film nouvelleséditionsdefilms(nef) risingstar spain germani franc pari femalenud prostitut jean-baptist grenouille, born in the stench of 18th centuri paris, develop a superior olfactori sense, which he use to creat the world' finest perfumes. however, hi work take a dark turn as he tri to preserv scent in the search for the ultim perfume. tomtykw"
673,673,818,Austin Powers in Goldmember,2002,296655431,"comedi crime sciencefict mikemy beyoncéknowl sethgreen newlinecinema eric'sboy teamtodd unitedstatesofamerica savingtheworld submarin brotherbrotherrelationship the world' most shagadel spi continu hi fight against dr. evil. thi time, the diabol doctor and hi clone, mini-me, team up with a new foe -- '70 kingpin goldmember. while pursu the team of villain to stop them from world domination, austin get help from hi dad and an old girlfriend. jayroach"
675,675,329,Jurassic Park,1993,920100000,"adventur sciencefict samneil lauradern jeffgoldblum universalpictur amblinentertain unitedstatesofamerica exoticisland dna paleontolog a wealthi entrepreneur secretli creat a theme park featur live dinosaur drawn from prehistor dna. befor open day, he invit a team of expert and hi two eager grandchildren to experi the park and help calm anxiou investors. however, the park is anyth but amus as the secur system go off-lin and the dinosaur escape. stevenspielberg"
690,690,497,The Green Mile,1999,284600000,"fantasi drama crime tomhank michaelclarkeduncan davidmors castlerockentertain darkwoodsproduct warnerbros. unitedstatesofamerica southernusa blackpeopl mentallydis a supernatur tale set on death row in a southern prison, where gentl giant john coffey possess the mysteri power to heal people' ailments. when the cellblock' head guard, paul edgecomb, recogn coffey' miracul gift, he tri desper to help stave off the condemn man' execution. frankdarabont"
694,694,2501,The Bourne Identity,2002,214034224,"action drama mysteri mattdamon frankapotent chriscoop universalpictur kennedy/marshallcompany,th hypnot unitedstatesofamerica germani czechrepubl pari barcelonaspain assassin wound to the brink of death and suffer from amnesia, jason bourn is rescu at sea by a fisherman. with noth to go on but a swiss bank account number, he start to reconstruct hi life, but find that mani peopl he encount want him dead. however, bourn realiz that he ha the combat and mental skill of a world-class spi – but who doe he work for? dougliman"
696,696,2275,The General's Daughter,1999,149705852,"crime drama mysteri johntravolta madeleinestow jamescromwel paramountpictur mfpmunichfilmpartnersgmbh&companyi.produktionskg kraneentertain germani unitedstatesofamerica suicid detect basedonnovel when the bodi of armi capt. elizabeth campbel is found on a georgia militari base, two investigators, warrant offic paul brenner and sara sunhill, are order to solv her murder. what they uncov is anyth but clear-cut. unseemli detail emerg about campbell' life, lead to alleg of a possibl militari coverup of her death and the involv of her father, lt. gen. joseph campbell. simonwest"
703,703,2642,Two Weeks Notice,2002,93354918,"romanc comedi sandrabullock hughgrant aliciawitt villageroadshowpictur castlerockentertain npventertain australia unitedstatesofamerica newyork parishhal romanticcomedi dedic environment lawyer luci kelson goe to work for billionair georg wade as part of a deal to preserv a commun center. indecis and weak-wil georg grow depend on lucy' guidanc on everyth from legal matter to clothing. exasperated, luci give notic and pick harvard graduat june carter as her replacement. as lucy' time at the firm near an end, she grow jealou of june and ha second thought about leav george. marclawr"
706,706,2119,Days of Thunder,1990,157920733,"adventur tomcruis robertduval nicolekidman paramountpictur donsimpson/jerrybruckheimerfilm unitedstatesofamerica stock-car-rac daytona carcrash talent but unproven stock car driver cole trickl get a break and with the guidanc of veteran harri hogg turn head on the track. the young hotshot develop a rivalri with a fellow racer that threaten hi career when the two smash their cars. but with the help of hi doctor, cole just might overcom hi injuries-- and hi fear. tonyscott"
710,710,5994,The Family Man,2000,0,"comedi drama romanc nicolascag téaleoni doncheadl universalpictur unitedstatesofamerica workahol secondch guardianangel jack' lavish, fast-pac lifestyl chang one christma night when he stumbl into a groceri store holdup and disarm the gunman. the next morn he wake up in bed lie next to kate, hi colleg sweetheart he left in order to pursu hi career, and to the horrifi discoveri that hi former life no longer exists. as he stumbl through thi altern suburban universe, jack find himself at a crossroad where he must choos between hi high-pow career and the woman he loves. brettratn"
713,713,547,The Horse Whisperer,1998,186883563,"drama romanc robertredford kristinscottthoma samneil wildwoodenterpris touchstonepictur unitedstatesofamerica lovetriangl newyork montana base on the novel by the same name from nichola evans, the talent robert redford present thi medit famili drama set in the countri side. redford not onli direct but also star in the roll of a cowboy with a magic talent for healing. robertredford"
723,723,8645,The Happening,2008,163403799,"thriller sciencefict markwahlberg zooeydeschanel johnleguizamo spyglassentertain twentiethcenturyfoxfilmcorpor duneentertain unitedstatesofamerica india franc tree naturaldisast crisi when a deadli airborn viru threaten to wipe out the northeastern unit states, teacher elliott moor (mark wahlberg) and hi wife (zooey deschanel) flee from contamin citi into the countrysid in a fight to discov the truth. is it terrorism, the accident releas of some toxic militari bio weapon -- or someth even more sinister? john leguizamo and betti buckley co-star in thi thriller from writer-director m. night shyamalan. m.nightshyamalan"
731,731,4824,The Jackal,1997,159330280,"action thriller adventur brucewilli richardger sidneypoiti universalpictur toho-towa mutualfilmcompani unitedstatesofamerica fbi coldwar hitman hire by a power member of the russian mafia to aveng an fbi sting that left hi brother dead, the perfectionist jackal prove an elus target for the men charg with the task of bring him down: a deputi fbi boss and a former ira terrorist. michaelcaton-jon"
741,741,7485,Shooter,2007,95696996,"action drama mysteri markwahlberg michaelpeña dannyglov paramountpictur dibonaventurapictur grosvenorparkimpactproduct unitedstatesofamerica corrupt sniper senat a marksman live in exil is coax back into action after learn of a plot to kill the president. ultim double-cross and frame for the attempt, he goe on the run to track the real killer and find out who exactli set him up, and why. antoinefuqua"
753,753,5820,The Sentinel,2006,77920346,action thriller crime michaeldougla kiefersutherland evalongoria twentiethcenturyfoxfilmcorpor duneentertain majorstudiopartn unitedstatesofamerica usapresid agent a secret servic agent is frame as the mole in an assassin attempt on the president. he must clear hi name and foil anoth assassin attempt while on the run from a relentless fbi agent. clarkjohnson
762,762,8838,Mercury Rising,1998,0,"action crime drama brucewilli alecbaldwin mikohugh imagineentertain universalpictur unitedstatesofamerica assassin lossoffamili autism renegad fbi agent art jeffri protect a nine-year-old autist boy who ha crack the government' new ""unbreakable"" code. haroldbeck"
764,764,4958,The Legend of Bagger Vance,2000,39459427,"fantasi drama mattdamon brucemcgil charlizetheron dreamworksskg twentiethcenturyfoxfilmcorpor wildwoodenterpris unitedstatesofamerica competit worldwari greatdepress world war i ha left golfer rannulph junuh a poker-play alcoholic, hi perfect swing gone. now, however, he need to get it back to play in a tournament to save the financi ravag golf cours of a long-ago sweetheart. help arriv in the form of mysteri caddi bagger vance. robertredford"
765,765,786,Almost Famous,2000,47383689,"drama music katehudson billycrudup francesmcdormand columbiapictur vinylfilm dreamworkspictur unitedstatesofamerica hotelroom sandiego drugaddict almost famou is an autobiograph inspir film about a 15-year-old who is hire by roll stone magazin to follow and interview a rock band dure their tour. a film about grow up, first love, disappointment, and the life of a rock star. cameroncrow"
774,774,2100,The Last Castle,2001,27642707,action drama thriller robertredford jamesgandolfini markruffalo dreamworksskg unitedstatesofamerica prison gener a court martial gener ralli togeth 1200 inmat to rise against the system that put him away. rodluri
784,784,2312,In the Name of the King: A Dungeon Siege Tale,2007,0,"adventur fantasi action jasonstatham johnrhys-davi rayliotta bollkinobeteiligungsgmbh&co.kg brightlightpictur heroldproduct canada germani unitedstatesofamerica fictionalplac monster lossoffamili a man name farmer set out to rescu hi kidnap wife and aveng the death of hi son -- two act commit by the krugs, a race of animal-warrior who are control by the evil gallian. uwebol"
795,795,4942,Leatherheads,2008,41299492,"comedi romanc drama georgeclooney renéezellweg johnkrasinski universalpictur caseysilverproduct outlawproductions(i) germani unitedstatesofamerica americanfootbal sportsteam stadium a light heart comedi about the begin of profession american football. when a decor war hero and colleg all star is tempt into play profession football. everyon see the chanc to make some big money, but when a report dig up some dirt on the war hero... everyon could lose out. georgeclooney"
803,803,8840,DragonHeart,1996,115267375,"fantasi dennisquaid davidthewli petepostlethwait universalpictur unitedstatesofamerica magic kingdom despot in an ancient time when majest fire-breath soar through the skies, a knight name bowen come face to face and heart to heart with the last dragon on earth, draco. take up arm to suppress a tyrant king, bowen soon realiz hi task will be harder than he'd imagined: if he kill the king, draco will die as well. robcohen"
806,806,1722,Captain Corelli's Mandolin,2001,62112895,"drama histori romanc nicolascag penélopecruz johnhurt miramaxfilm universalpictur unitedkingdom unitedstatesofamerica franc offic greekisland mandolin when a greek fisherman leav to fight with the greek armi dure wwii, hi fiance fall in love with the local italian commander. the film is base on a novel about an italian soldier' experi dure the italian occup of the greek island of cephalonia (kefalonia), but hollywood made it into a pure love stori by remov much of the ""unpleasant"" stuff. johnmadden"
810,810,6477,Alvin and the Chipmunks,2007,361366633,"comedi music famili jasonle davidcross cameronrichardson duneentertain regencyenterpris fox2000pictur unitedstatesofamerica pop popstar recordproduc a struggl songwrit name dave sevil find success when he come across a trio of sing chipmunks: mischiev leader alvin, braini simon, and chubby, impression theodore. timhil"
811,811,1597,Meet the Parents,2000,330444045,"comedi romanc benstil robertdeniro teripolo dreamworksskg universalpictur tribecaproduct unitedstatesofamerica cia airport cat greg focker is readi to marri hi girlfriend, pam, but befor he pop the question, he must win over her formid father, humorless former cia agent jack byrnes, at the wed of pam' sister. as greg bend over backward to make a good impression, hi visit to the byrn home turn into a hilari seri of disasters, and everyth that can go wrong does, all under jack' critical, hawklik gaze. jayroach"
817,817,8273,American Wedding,2003,231449203,"comedi romanc jasonbigg alysonhannigan seannwilliamscott universalpictur zide-perryproduct liveplanet unitedstatesofamerica handcuff sistersisterrelationship spanner with high school a distant memory, jim and michel are get marri -- and in a hurry, sinc jim' grandmoth is sick and want to see him walk down the aisl -- prompt stifler to throw the ultim bachelor party. and jim' dad is reliabl as ever, dole out advic no one want to hear. jessedylan"
822,822,7303,Maid in Manhattan,2002,154906693,"comedi drama romanc jenniferlopez ralphfienn natasharichardson redomfilm unitedstatesofamerica hotel politician mistakenident marisa ventura is a struggl singl mom who work at a posh manhattan hotel and dream of a better life for her and her young son. one fate day, hotel guest and senatori candid christoph marshal meet marisa and mistak her for a wealthi socialite. after an enchant even together, the two fall madli in love. but when marisa' true ident is revealed, issu of class and social statu threaten to separ them. can two peopl from veri differ world overcom their differ and live happili ever after? waynewang"
823,823,8963,Crimson Tide,1995,157387195,"action thriller drama denzelwashington genehackman mattcraven hollywoodpictur donsimpson/jerrybruckheimerfilm unitedstatesofamerica submarin mutini russia on a us nuclear missil sub, a young first offic stage a mutini to prevent hi trigger happi captain from launch hi missil befor confirm hi order to do so. tonyscott"
834,834,2320,Executive Decision,1996,121969216,"action adventur drama kurtrussel stevenseag halleberri silverpictur warnerbros. unitedstatesofamerica bomb ransom hostag terrorist hijack a 747 inbound to washington d.c., demand the the releas of their imprison leader. intellig expert david grant (kurt russell) suspect anoth reason and he is soon the reluct member of a special assault team that is assign to intercept the plane and hijackers. stuartbaird"
846,846,1792,Stuck on You,2003,33828318,"comedi mattdamon gregkinnear evamend twentiethcenturyfoxfilmcorpor conundrumentertain unitedstatesofamerica sex dancer martialart in martha' vineyard, mass., conjoin twin walt (greg kinnear) and bob tenor (matt damon) make the best of their handicap by be the fastest grill cook in town. while outgo walt hope to one day becom a famou actor, shi bob prefer to stay out of the spotlight. when a fade hollywood actress, cher (cher), decid to get her show ""honey and the beaze"" cancelled, she hire walt -- and hi brotherli appendag -- as her costars. but their addit surprisingli achiev the opposite. bobbyfarrelli"
852,852,9833,The Phantom of the Opera,2004,154648887,"thriller drama romanc gerardbutl emmyrossum patrickwilson odysseyentertain warnerbros. scionfilm unitedkingdom unitedstatesofamerica danc obsess auction deform sinc birth, a bitter man known onli as the phantom live in the sewer underneath the pari opera house. he fall in love with the obscur choru singer christine, and privat tutor her while terror the rest of the opera hous and demand christin be given lead roles. thing get wors when christin meet back up with her childhood acquaint raoul and the two fall in love joelschumach"
